"Add New Category","Ajouter une catégorie"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Start Import","Commencer l'import"
NOTICE,NOTICE
"Database Name","Nom de la base de données"
"User Name","Nom d'utilisateur"
"Database Host","Domaine de la base de données (host)"
"Table Prefix","Préfixe de la table"
Color,Article
"Add New Color","Ajouter un article"
Color,Color
"Go to Color Home Page","Aller sur l'accueil du color"
"Monthly Archives: %s %s","Archives mensuelles : %s %s"
"Search ""%1""","Recherche ""%1"""
"Recent Color Colors","Derniers articles"
"Manage %1","Gérer %1"
"Edit %1","Éditer %1"
"New %1","Nouveau %1"
"Create %1","Créer %1"
"%1 has been saved.","%1 a été enregistré."
"Something went wrong while saving this %1. %2","Un problème est survenu lors de l\'enregistrement %1. %2"
"We can't delete %1 right now. %2","Impossible de supprimer %1 pour le moment. %2"
"%1 have been deleted.","%1 a été supprimé."
"Parameter ""Status"" missing in request data.","Paramètre ""Statut"" manquant."
"Status Field Name is not specified.","Le nom du statut n'est pas indiqué."
"We can't change status of %1 right now. %2","Impossible de changer le statut de %1 pour le moment. %2"
"%1 status have been changed.","%1 le statut a été changé."
"Color Import","Importer color"
"Color import type is not specified.","Le type d'import de color n'est pas spécifié."
"The import process was completed successfully. %1 colors and %2 categories where imported.","L'importation a été réalisée avec succès. %1 articles et %2 catégories ont été importés."
"The import process completed. %1 colors and %2 categories where imported. Some colors or categories where skipped.<br/> %3 %4","L'importation a été réalisée. %1 articles et %2 catégories ont été importés. Des articles ou des catégories n'ont pas pu être importés.<br/> %3 %4"
"Nothing to import.","Rien à importer."
"Can not make import.","Impossible de réaliser l'import."
"Something went wrong: ","Un problème est survenu: "
"Color Import from WordPress (beta)","Importer son color à partir de WordPress (beta)"
"Please select","Veuillez sélectionner"
"Use Facebook Comments","Utiliser les commentaires Facebook"
"Use Disqus Comments","Utiliser les commentaires Disqus"
"Use Google Comments (beta)","Utiliser les commentaires Google(beta)"
"Yes (With auto trigger)","Yes (With auto trigger)"
"Yes (Without auto trigger)","Yes (Without auto trigger)"
"Parameter %1 is required","Le paramètre %1 est nécessaire"
"AheadWorks Color Extension not detected.","AheadWorks Color Extension non détectée."
"The category URL key contains capital letters or disallowed symbols.","La clé URL de la catégorie contient des majuscules ou des symbôles non autorisés."
"The category URL key cannot be made of only numbers.","La clé URL de catégorie ne peut pas être composée uniquement de chiffres."
"The color URL key contains capital letters or disallowed symbols.","La clé URL de l'article contient des majuscules ou des symbôles non autorisés."
"The color URL key cannot be made of only numbers.","La clé URL de l'article ne peut pas contenir uniquement des nombres."
"The tag is already exist.","La balise existe déjà."
"The tag URL key contains capital letters or disallowed symbols.","La clé URL de l'étiquette contient des lettres majuscules ou des symboles non autorisés."
"The tag URL key cannot be made of only numbers.","La clé URL de l'étiquette ne peut pas être composée uniquement de chiffres."
"Related colors","Articles associés"
Colored:,Coloré le:
Categories:,Catégories:
Tags:,Etiquettes:
Author:,Auteur:
"We can't find colors matching the selection.","Aucun article ne correspond à la sélection."
"Read more &#187;","Lire plus &#187;"
"See more","Voir plus"
"Read %1","Lire %1"
"&larr; Previous","&larr; Précédent"
"Next &rarr;","Suivant &rarr;"
"Related Colors","Articles Associés"
Archive,Archives
"Archive %s","Archive %s"
"Recent Colors","Articles récents"
"RSS Feed","Flux RSS"
"Search colors here...","Rechercher des articles ici..."
Tags,Etiquettes
"designnbuy Extensions","Extensions designnbuy"
"Color Information","A propos de ce color"
"Color Index Page","Page index du color"
"Color View","Vues de l'article"
"Display Related Colors","Afficher les articles associés"
"Number of Colors","Nombre d'articles"
"Display Related Products","Afficher les produits associés"
"Number of Products","Nombre de produits"
Comments,Commentaires
"Number of Comments","Nombre de commentaires"
"Facebook Application ID","ID Application Facebook"
"Preview and Next Color","Aperçu et article suivant"
"Display Prev. & Next Color Links","Display Prev. & Next Color Links"
"Color List","Liste des articles"
"Colors Per Page","Articles par page"
"Use Lazy Loading","Utiliser le Lazy Loading"
"Automatically load more colors on page.","Charger automatiquement des articles supplémentaires sur la page."
"Auto Triger Padding (px)","Auto Triger Padding (px)"
Author,Auteur
"Display Author Information","Afficher les informations de l'auteur"
"Display Color List By Author","Afficher les articles par nom d'auteur"
Sidebar,"Barre latérale"
"Search Form Widget","Widget formulaire de recherche"
"Categories Widget","Widget catégories"
"Recent Colors Widget","Widget articles récents"
"Colors Number","Numéro de l'article"
"Archive Widget","Widget archives"
"Tag Claud Widget","Tag Claud Widget"
"Rss Feed","Flux RSS"
"Feed Title","Titre du flux"
"Feed Description","Description du flux"
"Product Page","Page produit"
"Permalink Settings","Paramètres des permaliens"
"Color Route","Chemin du color"
"Permalink Type","Type de permalien"
"Color Route","Chemin des articles"
"Category Route","Chemin de catégorie"
"Archive Route","Chemin des archives"
"Tag Route","Chemin des étiquettes"
"Author Route","Chemin de l'auteur"
"Search Route","Chemin de recherche"
"Social","Réseaux sociaux"
"AddThis Enabled","AddThis Activé"
"AddThis ID","AddThis ID"
"AddThis Language","AddThis Langue"
"Category Top Navigation","Categories Navigation supérieure"
"Display Color Link","Afficher le lien du color"
"Color Category","Catégorie du Color"
"Leave blank to display colors from all categories.","Laissez vide pour afficher les articles de toutes les catégories."
"Custom Template","Template personnalisé"
Published,Publié
"Category Information","Information catégorie"
"Enable Category","Activer la Catégorie"
"Category Title","Titre de la catégorie"
"Category in Websites","Catégorie dans les sites Web"
"-- Please Select --","-- Veuillez sélectionner --"
"Tag Title","Titre de l'étiquette"
"Color Information","Informations de l'article"
"Enable Color","Activer l'article"
"Color Title","Titre de l'article"
"New Category","Nouvelle catégorie"
"Additional Options","Options Supplémentaires"
"Featured Image","Image sélectionnée"
"Publish Date","Date de publication"
"New Tag","Nouvelle étiquette"
"Open Graph Metadata","Open Graph Metadata"
"OG Title","Titre OG"
"Leave blank to use Meta Title by default.","Laissez vide pour utiliser un Meta Title par défaut."
"OG Description","Description OG"
"Leave blank to use Meta Description by default.","Laisser vide pour utiliser une Meta Description par défaut."
"OG Image","Image OG "
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Laissez vide pour utiliser l'image principale par défaut. Autoriser le type d'image: jpg, jpeg, gif, png."
"OG Type","Type OG "
"Leave blank to use ""article"" type by default.","Laissez vide pour utiliser le type "" article "" par défaut."
"Color in Websites","Publier sur le site"
"Related Colors and Products","Articles et produits apparentés"
"Related colors are shown to customers in addition to the item the customer is looking at.","Les articles apparentés sont montrés aux clients en plus de sa recherche initiale."
"Add Related Color","Ajouter un article apparenté"
"Add Related Colors","Ajouter les articles apparentés"
"Add Selected Colors","Ajouter les articles sélectionnés"
"January","Janvier"
"February","Février"
"March","Mars"
"April","Avril"
"May","Mai"
"June","Juin"
"July","Juillet"
"August","Août"
"September","Septembre"
"October","Octobre"
"November","Novembre"
"December","Décembre"
"Jan","Jan"
"Feb","Fév"
"Mar","Mar"
"Apr","Avr"
"May","Mai"
"Jun","Jun"
"Jul","Juil"
"Aug","Août"
"Sep","Sep"
"Oct","Oct"
"Nov","Nov"
"Dec","Déc"