"Add New Category","Add New Category"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Start Import","Start Import"
NOTICE,NOTICE
"Database Name","Database Name"
"User Name","User Name"
"Database Host","Database Host"
"Table Prefix","Table Prefix"
Design Area,Design Area
"Add New Design Area","Add New Design Area"
Design Area,Design Area
"Go to Design Area Home Page","Go to Design Area Home Page"
"Monthly Archives: %s %s","Monthly Archives: %s %s"
"Search ""%1""","Search ""%1"""
"Recent Design Area","Recent Design Area"
"Manage %1","Manage %1"
"Edit %1","Edit %1"
"New %1","New %1"
"Create %1","Create %1"
"%1 has been saved.","%1 has been saved."
"Something went wrong while saving this %1. %2","Something went wrong while saving this %1. %2"
"We can't delete %1 right now. %2","We can't delete %1 right now. %2"
"%1 have been deleted.","%1 have been deleted."
"Parameter ""Status"" missing in request data.","Parameter ""Status"" missing in request data."
"Status Field Name is not specified.","Status Field Name is not specified."
"We can't change status of %1 right now. %2","We can't change status of %1 right now. %2"
"%1 status have been changed.","%1 status have been changed."
"Design Area Import","Design Area Import"
"Design Area import type is not specified.","Design Area import type is not specified."
"The import process was completed successfully. %1 Design Areas and %2 categories where imported.","The import process was completed successfully. %1 Design Areas and %2 categories where imported."
"The import process completed. %1 Design Areas and %2 categories where imported. Some Design Areas or categories where skipped.<br/> %3 %4","The import process completed. %1 Design Areas and %2 categories where imported. Some Design Areas or categories where skipped.<br/> %3 %4"
"Nothing to import.","Nothing to import."
"Can not make import.","Can not make import."
"Something went wrong: ","Something went wrong: "
"Design Area Import from WordPress (beta)","Design Area Import from WordPress (beta)"
"Please select","Please select"
"Use Facebook Comments","Use Facebook Comments"
"Use Disqus Comments","Use Disqus Comments"
"Use Google Comments (beta)","Use Google Comments (beta)"
"Yes (With auto trigger)","Yes (With auto trigger)"
"Yes (Without auto trigger)","Yes (Without auto trigger)"
"Parameter %1 is required","Parameter %1 is required"
"AheadWorks Design Area Extension not detected.","AheadWorks Design Area Extension not detected."
"The category URL key contains capital letters or disallowed symbols.","The category URL key contains capital letters or disallowed symbols."
"The category URL key cannot be made of only numbers.","The category URL key cannot be made of only numbers."
"The Design Area URL key contains capital letters or disallowed symbols.","The Design Area URL key contains capital letters or disallowed symbols."
"The Design Area URL key cannot be made of only numbers.","The Design Area URL key cannot be made of only numbers."
"The tag is already exist.","The tag is already exist."
"The tag URL key contains capital letters or disallowed symbols.","The tag URL key contains capital letters or disallowed symbols."
"The tag URL key cannot be made of only numbers.","The tag URL key cannot be made of only numbers."
"Related Design Areas","Related Design Areas"
Design Areaed:,Design Areaed:
Categories:,Categories:
Tags:,Tags:
Author:,Author:
"We can't find Design Areas matching the selection.","We can't find Design Areas matching the selection."
"Read more &#187;","Read more &#187;"
"See more","See more"
"Read %1","Read %1"
"&larr; Previous","&larr; Previous"
"Next &rarr;","Next &rarr;"
"Related Design Areas","Related Design Areas"
Archive,Archive
"Archive %s","Archive %s"
"Recent Design Areas","Recent Design Areas"
"RSS Feed","RSS Feed"
"Search Design Areas here...","Search Design Areas here..."
Tags,Tags
"designnbuy Extensions","designnbuy Extensions"
"Design Area Information","Design Area Information"
"Design Area Index Page","Design Area Index Page"
"Design Area View","Design Area View"
"Display Related Design Areas","Display Related Design Areas"
"Number of Design Areas","Number of Design Areas"
"Display Related Products","Display Related Products"
"Number of Products","Number of Products"
Comments,Comments
"Number of Comments","Number of Comments"
"Facebook Application ID","Facebook Application ID"
"Preview and Next Design Area","Preview and Next Design Area"
"Display Prev. & Next Design Area Links","Display Prev. & Next Design Area Links"
"Design Area List","Design Area List"
"Design Areas Per Page","Design Areas Per Page"
"Use Lazy Loading","Use Lazy Loading"
"Automatically load more Design Areas on page.","Automatically load more Design Areas on page."
"Auto Triger Padding (px)","Auto Triger Padding (px)"
Author,Author
"Display Author Information","Display Author Information"
"Display Design Area List By Author","Display Design Area List By Author"
Sidebar,Sidebar
"Search Form Widget","Search Form Widget"
"Categories Widget","Categories Widget"
"Recent Design Areas Widget","Recent Design Areas Widget"
"Design Areas Number","Design Areas Number"
"Archive Widget","Archive Widget"
"Tag Claud Widget","Tag Claud Widget"
"Rss Feed","Rss Feed"
"Feed Title","Feed Title"
"Feed Description","Feed Description"
"Product Page","Product Page"
"Permalink Settings","Permalink Settings"
"Design Area Route","Design Area Route"
"Permalink Type","Permalink Type"
"Design Area Route","Design Area Route"
"Category Route","Category Route"
"Archive Route","Archive Route"
"Tag Route","Tag Route"
"Author Route","Author Route"
"Search Route","Search Route"
Social,Social
"AddThis Enabled","AddThis Enabled"
"AddThis ID","AddThis ID"
"AddThis Language","AddThis Language"
"Category Top Navigation","Category Top Navigation"
"Display Design Area Link","Display Design Area Link"
"Design Area Category","Design Area Category"
"Leave blank to display Design Areas from all categories.","Leave blank to display Design Areas from all categories."
"Custom Template","Custom Template"
Published,Published
"Category Information","Category Information"
"Enable Category","Enable Category"
"Category Title","Category Title"
"Category in Websites","Category in Websites"
"-- Please Select --","-- Please Select --"
"Tag Title","Tag Title"
"Design Area Information","Design Area Information"
"Enable Design Area","Enable Design Area"
"Design Area Title","Design Area Title"
"New Category","New Category"
"Additional Options","Additional Options"
"Featured Image","Featured Image"
"Publish Date","Publish Date"
"New Tag","New Tag"
"Open Graph Metadata","Open Graph Metadata"
"OG Title","OG Title"
"Leave blank to use Meta Title by default.","Leave blank to use Meta Title by default."
"OG Description","OG Description"
"Leave blank to use Meta Description by default.","Leave blank to use Meta Description by default."
"OG Image","OG Image"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png."
"OG Type","OG Type"
"Leave blank to use ""article"" type by default.","Leave blank to use ""article"" type by default."
"Design Area in Websites","Design Area in Websites"
"Related Design Areas and Products","Related Design Areas and Products"
"Related Design Areas are shown to customers in addition to the item the customer is looking at.","Related Design Areas are shown to customers in addition to the item the customer is looking at."
"Add Related Design Area","Add Related Design Area"
"Add Related Design Areas","Add Related Design Areas"
"Add Selected Design Areas","Add Selected Design Areas"
"January","January"
"February","February"
"March","March"
"April","April"
"May","May"
"June","June"
"July","July"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"
"Jan","Jan"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","May"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Nov"
"Dec","Dec"